g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize,DiscreteCap
Hydro_Sto_SouthEast_Com,SouthEast,ReservoirHydro,Water,2,2030,2080,399.0,399.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_CenterBlack_Com,CenterBlack,ReservoirHydro,Water,2,2026,2076,72.0,72.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_WestMed_Com,WestMed,ReservoirHydro,Water,2,2026,2076,2.0,2.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_WestAna_Com,WestAna,ReservoirHydro,Water,2,2026,2076,3.0,3.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_CenterAna_Com,CenterAna,ReservoirHydro,Water,2,2026,2076,7.0,7.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_EastMed_Cand,EastMed,ReservoirHydro,Water,3,2030,2080,10.0,10.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_NorthWest_Cand,NorthWest,ReservoirHydro,Water,3,2030,2080,82.0,82.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_EastAna_Cand,EastAna,ReservoirHydro,Water,3,2030,2080,211.0,211.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_SouthEast_Cand,SouthEast,ReservoirHydro,Water,3,2030,2080,730.0,730.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_CenterBlack_Cand,CenterBlack,ReservoirHydro,Water,3,2030,2080,27.0,27.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_WestMed_Cand,WestMed,ReservoirHydro,Water,3,2030,2080,1.0,1.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_WestAna_Cand,WestAna,ReservoirHydro,Water,3,2030,2080,,,50,,,,0.1,2.125,10000,0.1,4.0,,0
Hydro_Sto_CenterAna_Cand,CenterAna,ReservoirHydro,Water,3,2030,2080,17.0,17.0,50,,,,0.1,2.125,10000,0.1,4.0,,0
Offshore_WestAna_Com2030,WestAna,OffshoreWind,Wind,2,2030,2060,,,30,,,,,2.75,60000,,,,0
Offshore_Trakia_Com2030,Trakia,OffshoreWind,Wind,2,2030,2060,,,30,,,,,3.025,60000,,,,0
Offshore_NorthWest_Com2030,NorthWest,OffshoreWind,Wind,2,2030,2060,,,30,,,,,2.8875,60000,,,,0
Offshore_WestAna_Com2031,WestAna,OffshoreWind,Wind,2,2031,2060,,,30,,,,,2.75,60000,,,,0
Offshore_Trakia_Com2031,Trakia,OffshoreWind,Wind,2,2031,2060,,,30,,,,,3.025,60000,,,,0
Offshore_NorthWest_Com2031,NorthWest,OffshoreWind,Wind,2,2031,2060,,,30,,,,,2.8875,60000,,,,0
Offshore_WestAna_Com2032,WestAna,OffshoreWind,Wind,2,2032,2060,,,30,,,,,2.75,60000,,,,0
Offshore_Trakia_Com2032,Trakia,OffshoreWind,Wind,2,2032,2060,,,30,,,,,3.025,60000,,,,0
Offshore_NorthWest_Com2032,NorthWest,OffshoreWind,Wind,2,2032,2060,,,30,,,,,2.8875,60000,,,,0
Offshore_WestAna_Com2033,WestAna,OffshoreWind,Wind,2,2033,2060,,,30,,,,,2.75,60000,,,,0
Offshore_Trakia_Com2033,Trakia,OffshoreWind,Wind,2,2033,2060,,,30,,,,,3.025,60000,,,,0
Offshore_NorthWest_Com2033,NorthWest,OffshoreWind,Wind,2,2033,2060,,,30,,,,,2.8875,60000,,,,0
Offshore_WestAna_Com2034,WestAna,OffshoreWind,Wind,2,2034,2060,,,30,,,,,2.75,60000,,,,0
Offshore_Trakia_Com2034,Trakia,OffshoreWind,Wind,2,2034,2060,,,30,,,,,3.025,60000,,,,0
Offshore_NorthWest_Com2034,NorthWest,OffshoreWind,Wind,2,2034,2060,,,30,,,,,2.8875,60000,,,,0
Offshore_WestAna_Com2035,WestAna,OffshoreWind,Wind,2,2035,2060,,,30,,,,,2.75,60000,,,,0
Offshore_Trakia_Com2035,Trakia,OffshoreWind,Wind,2,2035,2060,,,30,,,,,3.025,60000,,,,0
Offshore_NorthWest_Com2035,NorthWest,OffshoreWind,Wind,2,2035,2060,,,30,,,,,2.8875,60000,,,,0
Offshore_Trakia_Cand2030,Trakia,OffshoreWind,Wind,3,2030,2060,25000.0,2500.0,30,,,,,3.025,60000,,,,0
Offshore_WestAna_Cand2030,WestAna,OffshoreWind,Wind,3,2030,2060,25000.0,2500.0,30,,,,,2.75,60000,,,,0
Offshore_NorthWestAna_Cand2030,NorthWest,OffshoreWind,Wind,3,2030,2060,10000.0,1000.0,30,,,,,2.8875,60000,,,,0
NorthWest_Agg_Onshore,NorthWest,OnshoreWind,Wind,1,2017,2060,1567.636338,1567.636338,30,,,,,,15000,,,,0
Trakia_Agg_Onshore,Trakia,OnshoreWind,Wind,1,2017,2060,1737.415806,1737.415806,30,,,,,,15000,,,,0
EastAna_Agg_Onshore,EastAna,OnshoreWind,Wind,1,2018,2060,177.1451982,177.1451982,30,,,,,,15000,,,,0
EastMed_Agg_Onshore,EastMed,OnshoreWind,Wind,1,2019,2060,907.7115772,907.7115772,30,,,,,,15000,,,,0
SouthEast_Agg_Onshore,SouthEast,OnshoreWind,Wind,1,2018,2060,265.2173871,265.2173871,30,,,,,,15000,,,,0
WestMed_Agg_Onshore,WestMed,OnshoreWind,Wind,1,2019,2060,624.6119672,624.6119672,30,,,,,,15000,,,,0
CenterBlack_Agg_Onshore,CenterBlack,OnshoreWind,Wind,1,2019,2060,619.3936902,619.3936902,30,,,,,,15000,,,,0
WestAna_Agg_Onshore,WestAna,OnshoreWind,Wind,1,2019,2060,5817.021834,5817.021834,30,,,,,,15000,,,,0
CenterAna_Agg_Onshore,CenterAna,OnshoreWind,Wind,1,2019,2060,1147.976602,1147.976602,30,,,,,,15000,,,,0
WestMed_Onshore_Com2025,WestMed,OnshoreWind,Wind,2,2025,2060,99.8,99.8,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2025,WestAna,OnshoreWind,Wind,2,2025,2060,169.083,169.083,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2025,EastMed,OnshoreWind,Wind,2,2025,2060,19.8,19.8,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2025,EastAna,OnshoreWind,Wind,2,2025,2060,32.2,32.2,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2025,SouthEast,OnshoreWind,Wind,2,2025,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2025,NorthWest,OnshoreWind,Wind,2,2025,2060,80.05,80.05,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2025,CenterAna,OnshoreWind,Wind,2,2025,2060,37.6,37.6,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2025,CenterBlack,OnshoreWind,Wind,2,2025,2060,28.6,28.6,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2025,Trakia,OnshoreWind,Wind,2,2025,2060,9.4,9.4,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2026,WestMed,OnshoreWind,Wind,2,2026,2060,60.0,60.0,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2026,WestAna,OnshoreWind,Wind,2,2026,2060,289.75,289.75,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2026,EastMed,OnshoreWind,Wind,2,2026,2060,57.1,57.1,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2026,EastAna,OnshoreWind,Wind,2,2026,2060,123.4,123.4,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2026,SouthEast,OnshoreWind,Wind,2,2026,2060,17.7,17.7,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2026,NorthWest,OnshoreWind,Wind,2,2026,2060,142.3,142.3,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2026,CenterAna,OnshoreWind,Wind,2,2026,2060,165.6,165.6,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2026,CenterBlack,OnshoreWind,Wind,2,2026,2060,,,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2026,Trakia,OnshoreWind,Wind,2,2026,2060,196.2,196.2,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2027,WestMed,OnshoreWind,Wind,2,2027,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2027,WestAna,OnshoreWind,Wind,2,2027,2060,426.1,426.1,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2027,EastMed,OnshoreWind,Wind,2,2027,2060,13.6,13.6,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2027,EastAna,OnshoreWind,Wind,2,2027,2060,95.2,95.2,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2027,SouthEast,OnshoreWind,Wind,2,2027,2060,83.6,83.6,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2027,NorthWest,OnshoreWind,Wind,2,2027,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2027,CenterAna,OnshoreWind,Wind,2,2027,2060,113.4,113.4,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2027,CenterBlack,OnshoreWind,Wind,2,2027,2060,83.3,83.3,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2027,Trakia,OnshoreWind,Wind,2,2027,2060,32.6,32.6,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2028,WestMed,OnshoreWind,Wind,2,2028,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2028,WestAna,OnshoreWind,Wind,2,2028,2060,134.8,134.8,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2028,EastMed,OnshoreWind,Wind,2,2028,2060,28.4,28.4,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2028,EastAna,OnshoreWind,Wind,2,2028,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2028,SouthEast,OnshoreWind,Wind,2,2028,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2028,NorthWest,OnshoreWind,Wind,2,2028,2060,131.2,131.2,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2028,CenterAna,OnshoreWind,Wind,2,2028,2060,31.3,31.3,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2028,CenterBlack,OnshoreWind,Wind,2,2028,2060,147.2,147.2,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2028,Trakia,OnshoreWind,Wind,2,2028,2060,87.2,87.2,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2029,WestMed,OnshoreWind,Wind,2,2029,2060,20.0,20.0,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2029,WestAna,OnshoreWind,Wind,2,2029,2060,349.9,349.9,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2029,EastMed,OnshoreWind,Wind,2,2029,2060,106.57,106.57,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2029,EastAna,OnshoreWind,Wind,2,2029,2060,46.12,46.12,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2029,SouthEast,OnshoreWind,Wind,2,2029,2060,138.5,138.5,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2029,NorthWest,OnshoreWind,Wind,2,2029,2060,26.04,26.04,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2029,CenterAna,OnshoreWind,Wind,2,2029,2060,8.4,8.4,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2029,CenterBlack,OnshoreWind,Wind,2,2029,2060,10.0,10.0,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2029,Trakia,OnshoreWind,Wind,2,2029,2060,942.9,942.9,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2030,WestMed,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2030,WestAna,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2030,EastMed,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2030,EastAna,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2030,SouthEast,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2030,NorthWest,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2030,CenterAna,OnshoreWind,Wind,2,2030,2060,,,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2030,CenterBlack,OnshoreWind,Wind,2,2030,2060,250.0,250.0,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2030,Trakia,OnshoreWind,Wind,2,2030,2060,200.0,200.0,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2031,WestMed,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2031,WestAna,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2031,EastMed,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2031,EastAna,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2031,SouthEast,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2031,NorthWest,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2031,CenterAna,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2031,CenterBlack,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2031,Trakia,OnshoreWind,Wind,2,2031,2060,,,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2032,WestMed,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2032,WestAna,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2032,EastMed,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2032,EastAna,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2032,SouthEast,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2032,NorthWest,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2032,CenterAna,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2032,CenterBlack,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2032,Trakia,OnshoreWind,Wind,2,2032,2060,,,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2033,WestMed,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2033,WestAna,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2033,EastMed,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2033,EastAna,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2033,SouthEast,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2033,NorthWest,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2033,CenterAna,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2033,CenterBlack,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2033,Trakia,OnshoreWind,Wind,2,2033,2060,,,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2034,WestMed,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2034,WestAna,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2034,EastMed,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2034,EastAna,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2034,SouthEast,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2034,NorthWest,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2034,CenterAna,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2034,CenterBlack,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2034,Trakia,OnshoreWind,Wind,2,2034,2060,,,30,,,,,1.3,15000,,,,0
WestMed_Onshore_Com2035,WestMed,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
WestAna_Onshore_Com2035,WestAna,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
EastMed_Onshore_Com2035,EastMed,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
EastAna_Onshore_Com2035,EastAna,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
SouthEast_Sonshore_Com2035,SouthEast,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Onshore_Com2035,NorthWest,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
CenterAna_Onshore_Com2035,CenterAna,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
CenterBlack_Onshore_Com2035,CenterBlack,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
Trakia_Onshore_Com2035,Trakia,OnshoreWind,Wind,2,2035,2060,,,30,,,,,1.3,15000,,,,0
NorthWest_Agg_Onshore_Cand,NorthWest,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
Trakia_Agg_Onshore_Cand,Trakia,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
EastAna_Agg_Onshore_Cand,EastAna,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
EastMed_Agg_Onshore_Cand,EastMed,OnshoreWind,Wind,3,2030,2060,20000.0,2000.0,30,,,,,1.3,15000,,,,0
SouthEast_Agg_Onshore_Cand,SouthEast,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
WestMed_Agg_Onshore_Cand,WestMed,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
CenterBlack_Agg_Oshore_Cand,CenterBlack,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
WestAna_Agg_Onshore_Cand,WestAna,OnshoreWind,Wind,3,2030,2060,30000.0,3000.0,30,,,,,1.3,15000,,,,0
CenterAna_Agg_Onshore_Cand,CenterAna,OnshoreWind,Wind,3,2030,2060,15000.0,1500.0,30,,,,,1.3,15000,,,,0
